V1 V2 V3 V5 V6 V11 V12 V14 V15
100 cell1_MACS_peak_10506 2 3 5 7 16 14 13 16
101 cell1_MACS_peak_10507 2 2 6 5 22 21 27 23
102 cell1_MACS_peak_10513 14 11 14 9 19 19 16 15
103 cell1_MACS_peak_10519 9 7 10 13 16 15 13 19
104 cell1_MACS_peak_10522 4 4 6 7 19 19 17 11
105 cell1_MACS_peak_10527 6 4 12 6 28 29 32 36
106 cell1_MACS_peak_10528 2 3 3 3 10 12 12 16
107 cell1_MACS_peak_10529 20 27 35 28 76 86 84 79
108 cell1_MACS_peak_1053 12 9 19 15 30 34 31 39
109 cell1_MACS_peak_10530 9 12 11 11 21 21 30 27
110 cell1_MACS_peak_10534 7 9 8 11 15 12 16 20
111 cell1_MACS_peak_1054 7 5 5 4 11 12 15 15
112 cell1_MACS_peak_10540 5 6 8 4 16 10 16 15
113 cell1_MACS_peak_10541 3 5 8 4 20 18 20 19
114 cell1_MACS_peak_10552 5 7 6 6 15 15 14 11
115 cell1_MACS_peak_10561 4 3 4 6 12 15 17 12
116 cell1_MACS_peak_10574 8 6 6 7 14 9 9 16
117 cell1_MACS_peak_10576 6 4 8 8 19 17 22 22
118 cell1_MACS_peak_10579 3 2 4 3 15 13 14 15
119 cell1_MACS_peak_1058 11 9 10 8 18 15 19 16
120 cell1_MACS_peak_10581 5 6 7 6 11 11 11 9
121 cell1_MACS_peak_10591 4 4 4 2 9 9 8 10
122 cell1_MACS_peak_10598 5 5 5 5 12 12 15 14
123 cell1_MACS_peak_10600 1 3 2 5 15 15 14 18
124 cell1_MACS_peak_10602 3 2 2 4 5 8 8 5
125 cell1_MACS_peak_10607 3 7 10 7 16 16 16 18
126 cell1_MACS_peak_10612 6 10 13 24 41 41 34 39
127 cell1_MACS_peak_10615 12 11 16 15 23 26 25 22
128 cell1_MACS_peak_1062 12 13 13 13 14 13 14 15
129 cell1_MACS_peak_10648 3 2 5 8 20 21 24 26
130 cell1_MACS_peak_10650 1 2 2 2 9 9 14 8
131 cell1_MACS_peak_10656 9 5 8 8 30 23 28 31
132 cell1_MACS_peak_10658 10 7 11 14 37 33 43 51
133 cell1_MACS_peak_10663 2 1 1 2 8 6 5 11
134 cell1_MACS_peak_10666 3 6 6 6 12 18 15 17
135 cell1_MACS_peak_10667 3 3 4 3 8 12 12 10
136 cell1_MACS_peak_10668 3 5 6 7 19 17 16 16
137 cell1_MACS_peak_10673 14 14 23 20 71 77 82 75
138 cell1_MACS_peak_10674 8 3 16 11 38 39 41 45
139 cell1_MACS_peak_10677 7 10 21 13 43 47 50 45
140 cell1_MACS_peak_10678 5 7 8 7 24 30 28 30
141 cell1_MACS_peak_10679 8 7 7 2 11 13 8 12
142 cell1_MACS_peak_10680 6 6 8 3 18 17 22 16
143 cell1_MACS_peak_1069 7 6 6 7 8 7 10 12
144 cell1_MACS_peak_10707 6 2 9 7 21 26 30 33
145 cell1_MACS_peak_10709 3 4 6 11 22 30 37 35
146 cell1_MACS_peak_1072 17 16 29 24 71 55 73 67
147 cell1_MACS_peak_10721 7 6 7 8 13 12 13 14
148 cell1_MACS_peak_10728 3 4 5 4 20 18 19 20
149 cell1_MACS_peak_10730 3 2 8 3 10 8 7 9
150 cell1_MACS_peak_10733 5 7 6 10 23 25 22 26
151 cell1_MACS_peak_10734 2 3 5 4 16 11 17 14
152 cell1_MACS_peak_10741 2 1 1 5 13 10 12 15
153 cell1_MACS_peak_10747 6 7 6 6 16 13 20 14
154 cell1_MACS_peak_10751 1 1 1 1 8 10 10 15
155 cell1_MACS_peak_10752 4 6 6 2 19 17 15 14
156 cell1_MACS_peak_10757 3 3 7 8 16 19 18 27
157 cell1_MACS_peak_10758 2 3 3 5 9 11 13 12
158 cell1_MACS_peak_10759 5 7 9 3 22 22 28 29
159 cell1_MACS_peak_10762 6 5 5 2 10 11 11 13
160 cell1_MACS_peak_10764 5 4 6 4 19 16 20 23
161 cell1_MACS_peak_10772 7 8 8 14 34 35 42 41
162 cell1_MACS_peak_10776 8 3 6 7 21 27 28 27
163 cell1_MACS_peak_10777 2 1 6 4 15 12 14 9
164 cell1_MACS_peak_10778 6 4 8 10 17 16 12 15
165 cell1_MACS_peak_10789 4 3 4 8 14 11 14 11
166 cell1_MACS_peak_1079 12 15 13 18 23 13 17 19
167 cell1_MACS_peak_10801 7 6 6 9 12 14 13 12
168 cell1_MACS_peak_10804 7 9 10 9 16 18 19 21
169 cell1_MACS_peak_10808 8 10 9 11 12 15 19 19
170 cell1_MACS_peak_1081 6 6 9 8 16 18 17 13
171 cell1_MACS_peak_10811 13 16 12 22 28 24 26 24
172 cell1_MACS_peak_10813 4 9 15 9 43 41 47 56
173 cell1_MACS_peak_10817 26 28 29 29 43 42 46 43
174 cell1_MACS_peak_10824 12 6 11 13 42 36 48 42
175 cell1_MACS_peak_10833 3 1 1 3 10 8 8 12
176 cell1_MACS_peak_10836 2 2 6 6 12 8 12 12
177 cell1_MACS_peak_10843 1 1 4 5 27 16 24 23
178 cell1_MACS_peak_10860 8 5 9 8 11 13 17 12
179 cell1_MACS_peak_10864 11 12 15 11 10 12 16 12
180 cell1_MACS_peak_10867 18 21 22 24 32 24 37 36
181 cell1_MACS_peak_10879 11 8 9 11 19 18 18 20
182 cell1_MACS_peak_10881 10 12 11 16 33 31 42 38
183 cell1_MACS_peak_109 2 7 5 6 24 17 20 23
184 cell1_MACS_peak_10906 12 17 15 19 39 43 45 43
185 cell1_MACS_peak_10910 11 14 15 16 48 47 44 51
186 cell1_MACS_peak_10916 4 2 7 10 20 23 19 20
187 cell1_MACS_peak_10927 5 3 9 6 21 20 21 23
188 cell1_MACS_peak_1093 6 5 4 10 4 9 11 7
189 cell1_MACS_peak_10932 5 5 12 11 45 48 43 45
190 cell1_MACS_peak_10934 7 5 7 5 14 15 12 14
191 cell1_MACS_peak_10938 9 9 6 14 32 28 28 30
192 cell1_MACS_peak_10940 4 6 8 11 38 35 34 32
193 cell1_MACS_peak_10941 10 11 10 14 30 33 30 32
194 cell1_MACS_peak_10942 6 11 19 17 48 48 60 52
195 cell1_MACS_peak_10943 11 15 27 18 62 70 78 73
196 cell1_MACS_peak_10947 8 11 8 11 23 24 30 25
197 cell1_MACS_peak_10951 9 4 5 12 25 25 27 32
198 cell1_MACS_peak_10953 10 12 17 17 27 36 33 32
199 cell1_MACS_peak_10958 4 6 5 10 11 11 11 16
200 cell1_MACS_peak_1096 11 12 13 9 16 23 27 28
201 cell1_MACS_peak_10967 5 5 8 3 14 15 17 22
202 cell1_MACS_peak_10974 2 1 3 3 10 7 12 11
203 cell1_MACS_peak_10979 8 6 14 17 35 34 41 38
204 cell1_MACS_peak_10984 3 4 4 4 8 12 13 18
205 cell1_MACS_peak_10986 4 4 3 10 19 14 13 17
206 cell1_MACS_peak_10991 2 6 5 5 23 17 21 15
207 cell1_MACS_peak_110 3 2 4 3 11 10 15 15
208 cell1_MACS_peak_11006 6 7 6 5 19 18 19 20
209 cell1_MACS_peak_11045 8 5 7 10 18 21 22 25
210 cell1_MACS_peak_11049 10 10 14 10 23 29 25 19
211 cell1_MACS_peak_11055 4 6 9 4 14 14 12 15
212 cell1_MACS_peak_11063 18 14 24 21 64 62 76 72
213 cell1_MACS_peak_11069 20 19 16 18 24 26 24 27
214 cell1_MACS_peak_11070 3 4 6 12 22 24 28 31
215 cell1_MACS_peak_11072 1 3 4 2 12 17 17 18
216 cell1_MACS_peak_11085 5 5 10 5 15 15 17 18
217 cell1_MACS_peak_11087 4 4 8 8 10 8 13 11
218 cell1_MACS_peak_11088 12 7 13 14 36 29 31 41
219 cell1_MACS_peak_11089 20 22 28 28 101 100 125 120
220 cell1_MACS_peak_1109 9 10 10 8 17 11 17 17
221 cell1_MACS_peak_11091 10 8 6 8 25 29 24 27
222 cell1_MACS_peak_11093 5 3 4 6 12 12 14 15
223 cell1_MACS_peak_1113 14 12 18 19 39 35 34 45
224 cell1_MACS_peak_11130 9 6 8 7 18 16 19 19
225 cell1_MACS_peak_11134 7 6 14 12 33 24 34 39
226 cell1_MACS_peak_11141 5 6 7 9 17 21 18 14
227 cell1_MACS_peak_11149 4 5 7 6 16 12 17 12
228 cell1_MACS_peak_11153 16 16 17 15 51 49 56 65
229 cell1_MACS_peak_11164 7 5 11 10 27 23 24 38
230 cell1_MACS_peak_11174 2 4 2 3 11 14 11 11
231 cell1_MACS_peak_11176 11 20 24 21 76 84 103 89
232 cell1_MACS_peak_11178 1 4 2 6 14 15 15 16
233 cell1_MACS_peak_11183 5 6 13 13 37 34 48 49
234 cell1_MACS_peak_1120 7 6 8 11 20 20 23 25
235 cell1_MACS_peak_11205 9 10 11 13 15 17 16 18
236 cell1_MACS_peak_11209 40 39 37 40 75 74 86 82
237 cell1_MACS_peak_1121 3 4 6 8 8 12 14 14
238 cell1_MACS_peak_11215 10 12 9 13 20 12 20 18
239 cell1_MACS_peak_1122 4 4 6 9 22 24 23 23
240 cell1_MACS_peak_11222 7 5 8 4 6 9 13 12
241 cell1_MACS_peak_11248 7 4 9 4 7 14 12 11
242 cell1_MACS_peak_11250 6 6 9 8 23 26 23 30
243 cell1_MACS_peak_11256 4 4 5 6 9 11 10 6
244 cell1_MACS_peak_11257 12 18 11 15 27 26 33 31
245 cell1_MACS_peak_11261 5 7 7 6 12 14 18 16
246 cell1_MACS_peak_1127 3 4 3 1 13 11 10 14
247 cell1_MACS_peak_11278 8 10 12 10 18 15 14 17
248 cell1_MACS_peak_11282 5 3 4 5 6 9 11 10
249 cell1_MACS_peak_11287 5 5 10 3 10 10 13 14
