V1 V2 V3 V5 V6 V11 V12 V14 V15
1 cell1_MACS_peak_100 61 57 53 61 60 67 59 56
2 cell1_MACS_peak_10000 22 26 34 33 43 41 42 46
3 cell1_MACS_peak_10001 46 45 48 48 51 46 49 45
4 cell1_MACS_peak_10006 40 46 43 43 56 69 63 53
5 cell1_MACS_peak_10013 55 50 45 45 51 47 46 42
6 cell1_MACS_peak_10017 39 46 43 42 45 48 44 45
7 cell1_MACS_peak_1002 72 72 75 62 73 71 73 74
8 cell1_MACS_peak_10028 57 58 50 54 60 49 52 56
9 cell1_MACS_peak_10031 91 90 98 97 83 100 99 98
10 cell1_MACS_peak_10032 32 34 31 34 31 42 35 28
11 cell1_MACS_peak_10045 57 60 60 62 75 71 71 79
12 cell1_MACS_peak_10051 47 53 57 49 57 54 63 56
13 cell1_MACS_peak_10054 58 55 60 52 53 51 48 50
14 cell1_MACS_peak_10059 44 40 43 44 45 40 46 51
15 cell1_MACS_peak_1006 64 60 69 60 51 63 63 59
16 cell1_MACS_peak_10060 64 63 61 59 62 56 70 66
17 cell1_MACS_peak_10074 6 7 6 5 7 5 7 7
18 cell1_MACS_peak_10075 59 55 56 55 36 42 38 35
19 cell1_MACS_peak_10085 57 53 51 54 34 35 27 27
20 cell1_MACS_peak_10097 72 71 68 57 60 62 59 68
21 cell1_MACS_peak_1010 59 56 51 58 64 67 60 65
22 cell1_MACS_peak_10105 56 50 46 49 53 50 56 60
23 cell1_MACS_peak_10111 64 60 58 63 40 50 49 42
24 cell1_MACS_peak_10114 31 28 26 27 27 31 28 28
25 cell1_MACS_peak_10123 78 66 68 79 61 74 63 76
26 cell1_MACS_peak_10128 34 38 39 44 61 53 62 59
27 cell1_MACS_peak_10131 45 46 43 46 74 68 63 70
28 cell1_MACS_peak_10139 49 49 41 48 59 41 52 40
29 cell1_MACS_peak_10146 41 39 40 40 42 47 51 43
30 cell1_MACS_peak_10151 45 40 38 43 35 30 36 43
31 cell1_MACS_peak_10155 47 44 35 40 44 46 45 44
32 cell1_MACS_peak_10156 50 52 55 52 45 50 47 44
33 cell1_MACS_peak_10159 42 43 39 37 39 48 49 39
34 cell1_MACS_peak_10169 38 43 39 38 49 51 58 52
35 cell1_MACS_peak_1017 72 71 68 67 55 52 52 50
36 cell1_MACS_peak_10175 41 34 39 36 36 45 43 42
37 cell1_MACS_peak_10180 31 32 32 30 33 30 32 25
38 cell1_MACS_peak_10181 72 68 63 64 54 56 53 52
39 cell1_MACS_peak_10191 54 50 49 57 61 70 58 62
40 cell1_MACS_peak_10197 47 43 47 40 49 49 48 47
41 cell1_MACS_peak_102 49 52 51 56 51 49 58 52
42 cell1_MACS_peak_10210 34 30 40 39 32 29 34 33
43 cell1_MACS_peak_10224 33 37 31 35 29 32 31 32
44 cell1_MACS_peak_10234 53 54 51 42 42 46 46 50
45 cell1_MACS_peak_10236 44 42 41 44 41 39 43 42
46 cell1_MACS_peak_10241 45 44 48 48 34 40 40 38
47 cell1_MACS_peak_10245 53 57 52 63 67 67 65 61
48 cell1_MACS_peak_1028 87 82 85 86 93 72 80 80
49 cell1_MACS_peak_10282 52 55 56 51 69 64 67 67
50 cell1_MACS_peak_10283 56 60 59 56 68 65 66 64
51 cell1_MACS_peak_10284 29 31 35 35 33 39 35 34
52 cell1_MACS_peak_1029 59 64 58 68 56 53 43 49
53 cell1_MACS_peak_10297 57 56 60 60 62 64 62 66
54 cell1_MACS_peak_1030 77 78 76 83 61 71 61 61
55 cell1_MACS_peak_10305 49 59 61 55 62 67 75 68
56 cell1_MACS_peak_10315 35 32 33 30 36 34 32 27
57 cell1_MACS_peak_10325 38 42 36 38 42 46 42 44
58 cell1_MACS_peak_10332 45 46 46 48 37 42 34 38
59 cell1_MACS_peak_10337 42 39 38 39 47 54 45 51
60 cell1_MACS_peak_10339 40 49 45 41 39 53 47 45
61 cell1_MACS_peak_10343 56 50 55 51 57 59 61 60
62 cell1_MACS_peak_10344 51 51 63 52 81 85 94 87
63 cell1_MACS_peak_10355 45 45 49 50 58 61 69 69
64 cell1_MACS_peak_10356 37 41 45 44 45 53 55 49
65 cell1_MACS_peak_10357 45 49 49 46 49 58 57 62
66 cell1_MACS_peak_10359 39 40 38 39 46 39 51 51
67 cell1_MACS_peak_10360 17 16 18 18 27 22 29 24
68 cell1_MACS_peak_10365 40 49 55 38 50 42 40 48
69 cell1_MACS_peak_10368 37 38 33 42 39 37 37 41
70 cell1_MACS_peak_1037 40 39 36 43 45 41 42 44
71 cell1_MACS_peak_10373 57 54 55 61 49 53 51 46
72 cell1_MACS_peak_1038 78 79 77 78 59 60 61 59
73 cell1_MACS_peak_10381 63 57 55 63 75 78 79 76
74 cell1_MACS_peak_10384 59 52 55 60 87 78 84 88
75 cell1_MACS_peak_10387 33 35 36 36 32 38 38 31
76 cell1_MACS_peak_10391 38 38 45 41 52 48 48 48
77 cell1_MACS_peak_10394 68 70 80 69 80 83 85 78
78 cell1_MACS_peak_1040 55 53 54 49 48 43 47 45
79 cell1_MACS_peak_10400 58 56 54 58 46 48 43 43
80 cell1_MACS_peak_10401 23 23 23 24 16 10 14 20
81 cell1_MACS_peak_10402 25 28 29 30 28 33 34 35
82 cell1_MACS_peak_10410 60 56 58 60 67 66 53 59
83 cell1_MACS_peak_10413 46 46 46 49 50 41 59 49
84 cell1_MACS_peak_10423 76 77 83 90 76 63 73 66
85 cell1_MACS_peak_10425 54 55 54 56 89 82 88 94
86 cell1_MACS_peak_10426 61 59 63 66 87 88 93 102
87 cell1_MACS_peak_10430 53 51 58 64 48 55 43 56
88 cell1_MACS_peak_10439 12 13 14 15 17 17 20 17
89 cell1_MACS_peak_10440 48 39 51 49 110 94 112 109
90 cell1_MACS_peak_10443 49 43 56 45 81 82 81 80
91 cell1_MACS_peak_10445 55 60 51 57 58 67 61 70
92 cell1_MACS_peak_10454 42 46 45 49 60 57 56 54
93 cell1_MACS_peak_10478 63 66 70 62 60 53 65 65
94 cell1_MACS_peak_10479 57 61 56 53 58 57 56 53
95 cell1_MACS_peak_10482 66 60 71 67 59 55 52 59
96 cell1_MACS_peak_10499 62 64 57 75 60 60 54 60
97 cell1_MACS_peak_10501 62 60 55 57 79 77 70 62
98 cell1_MACS_peak_10503 43 40 53 41 52 51 53 46
99 cell1_MACS_peak_10504 39 49 39 44 58 55 63 67
100 cell1_MACS_peak_10506 45 44 48 42 47 42 43 39
101 cell1_MACS_peak_10507 64 63 69 57 84 80 86 81
102 cell1_MACS_peak_10513 54 56 60 65 51 56 60 70
103 cell1_MACS_peak_10519 47 48 60 52 72 67 61 67
104 cell1_MACS_peak_10522 70 74 71 69 53 48 59 54
105 cell1_MACS_peak_10527 43 42 41 32 36 30 37 34
106 cell1_MACS_peak_10528 16 15 18 16 17 17 16 18
107 cell1_MACS_peak_10529 38 38 36 37 31 37 39 33
108 cell1_MACS_peak_1053 57 61 58 64 66 61 63 63
109 cell1_MACS_peak_10530 55 53 58 54 42 51 48 42
110 cell1_MACS_peak_10534 52 55 57 58 58 62 52 63
111 cell1_MACS_peak_1054 84 77 81 67 76 68 79 74
112 cell1_MACS_peak_10540 58 58 52 58 53 54 53 54
113 cell1_MACS_peak_10541 50 47 48 49 47 47 47 51
114 cell1_MACS_peak_10552 75 65 72 70 67 69 64 63
115 cell1_MACS_peak_10561 73 67 76 82 74 87 86 95
116 cell1_MACS_peak_10574 15 16 13 13 16 14 14 15
117 cell1_MACS_peak_10576 42 49 50 45 48 48 41 43
118 cell1_MACS_peak_10579 57 58 60 52 38 44 48 44
119 cell1_MACS_peak_1058 110 112 98 110 83 85 78 86
120 cell1_MACS_peak_10581 44 46 45 46 44 49 51 48
121 cell1_MACS_peak_10591 43 44 40 47 54 52 56 51
122 cell1_MACS_peak_10598 54 55 53 51 73 59 60 69
123 cell1_MACS_peak_10600 53 50 49 51 59 62 70 74
124 cell1_MACS_peak_10602 37 42 43 33 34 39 37 36
125 cell1_MACS_peak_10607 53 47 51 53 54 59 54 63
126 cell1_MACS_peak_10612 77 84 75 83 87 83 94 90
127 cell1_MACS_peak_10615 61 56 58 62 69 62 66 64
128 cell1_MACS_peak_1062 82 80 85 75 57 59 70 62
129 cell1_MACS_peak_10648 40 38 36 35 46 53 49 52
130 cell1_MACS_peak_10650 49 46 44 53 53 50 52 53
131 cell1_MACS_peak_10656 47 45 38 45 50 37 49 43
132 cell1_MACS_peak_10658 65 60 58 60 57 57 62 56
133 cell1_MACS_peak_10663 49 49 50 51 44 59 55 56
134 cell1_MACS_peak_10666 36 36 39 33 44 48 53 49
135 cell1_MACS_peak_10667 38 38 39 37 50 44 47 51
136 cell1_MACS_peak_10668 54 58 55 44 48 52 49 54
137 cell1_MACS_peak_10673 49 51 60 59 95 94 102 101
138 cell1_MACS_peak_10674 9 14 15 15 35 32 36 38
139 cell1_MACS_peak_10677 55 51 55 64 71 77 90 83
140 cell1_MACS_peak_10678 56 55 62 55 80 79 80 74
141 cell1_MACS_peak_10679 53 52 53 56 63 60 52 52
142 cell1_MACS_peak_10680 46 43 44 49 60 61 54 58
143 cell1_MACS_peak_1069 76 81 73 68 68 64 71 65
144 cell1_MACS_peak_10707 33 37 36 37 48 51 63 61
145 cell1_MACS_peak_10709 50 52 52 58 94 84 104 93
146 cell1_MACS_peak_1072 71 82 76 81 65 72 78 72
147 cell1_MACS_peak_10721 31 33 33 33 38 44 42 37
148 cell1_MACS_peak_10728 42 45 42 51 64 64 62 62
149 cell1_MACS_peak_10730 46 46 44 45 37 28 31 35
150 cell1_MACS_peak_10733 54 49 65 59 60 61 51 51
151 cell1_MACS_peak_10734 53 46 51 59 50 56 54 48
152 cell1_MACS_peak_10741 41 43 39 39 37 40 44 38
153 cell1_MACS_peak_10747 41 43 43 47 39 48 48 42
154 cell1_MACS_peak_10751 48 56 56 48 53 61 54 57
155 cell1_MACS_peak_10752 36 32 34 40 40 38 39 36
156 cell1_MACS_peak_10757 42 41 34 49 64 62 64 67
157 cell1_MACS_peak_10758 36 36 36 42 46 46 43 42
158 cell1_MACS_peak_10759 60 57 60 63 63 72 61 70
159 cell1_MACS_peak_10762 14 18 19 22 21 24 29 30
160 cell1_MACS_peak_10764 40 33 39 41 40 40 45 45
161 cell1_MACS_peak_10772 55 48 50 52 72 63 65 70
162 cell1_MACS_peak_10776 41 47 49 49 51 50 48 50
163 cell1_MACS_peak_10777 56 53 48 53 49 55 49 49
164 cell1_MACS_peak_10778 67 63 59 60 65 54 62 51
165 cell1_MACS_peak_10789 28 31 30 32 39 39 44 43
166 cell1_MACS_peak_1079 66 69 64 63 55 49 48 48
167 cell1_MACS_peak_10801 48 46 52 42 48 46 42 49
168 cell1_MACS_peak_10804 53 52 61 60 69 70 76 78
169 cell1_MACS_peak_10808 46 54 49 49 43 48 50 44
170 cell1_MACS_peak_1081 9 8 6 8 3 5 5 4
171 cell1_MACS_peak_10811 64 69 68 79 97 92 93 86
172 cell1_MACS_peak_10813 35 30 42 40 81 74 88 86
173 cell1_MACS_peak_10817 64 67 69 78 76 82 79 75
174 cell1_MACS_peak_10824 64 70 73 76 85 76 80 88
175 cell1_MACS_peak_10833 37 33 38 39 34 29 31 43
176 cell1_MACS_peak_10836 44 37 34 37 45 45 44 40
177 cell1_MACS_peak_10843 59 64 61 68 88 87 83 85
178 cell1_MACS_peak_10860 74 79 77 72 58 58 61 65
179 cell1_MACS_peak_10864 100 96 91 95 79 72 77 77
180 cell1_MACS_peak_10867 41 40 46 41 67 72 73 76
181 cell1_MACS_peak_10879 45 52 40 44 48 46 45 41
182 cell1_MACS_peak_10881 69 68 71 68 112 100 98 100
183 cell1_MACS_peak_109 56 52 49 52 53 50 47 53
184 cell1_MACS_peak_10906 66 65 68 67 73 83 74 85
185 cell1_MACS_peak_10910 58 56 57 51 83 71 81 79
186 cell1_MACS_peak_10916 49 43 48 51 40 42 46 42
187 cell1_MACS_peak_10927 44 55 54 56 62 55 53 56
188 cell1_MACS_peak_1093 53 57 49 52 35 42 38 33
189 cell1_MACS_peak_10932 50 54 58 50 59 65 60 66
